text,index,prompt,negative
"少年歌行第一章,""雪落山庄不是一座山庄，只是一个客栈，还是个很破很破的客栈，方圆百里也只有这一家客栈",0,"best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, The scene depicts a small village in the middle of a dense forest, surrounded by snow-covered mountains. In the foreground, a group of young men are gathered around a small, dilapidated客栈， discussing the recent weather.

The men are wearing thick coats and hats, and are shivering despite the warm temperatures outside. They are excited to be staying at the客栈， as it is the only place in the surrounding area where they can find food and shelter.

In the background, a snow-covered tree branch stands out against the white sky, adding to the peaceful and serene atmosphere of the scene. The客栈's windows are dark and empty, suggesting that the guests have left for the day.","NSFW,sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head, {Multiple people}, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot,"
它背靠一座高山，面朝一条大河,1,"best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, The image would be of a small, rocky outcropping located at the edge of a forest, with a deep, blue sky overhead and a gentle breeze blowing through the trees. The rocky outcropping is surrounded by tall, lush trees, and a river runs through the forest below. The scene is peaceful and serene, with a sense of natural beauty and serenity.","NSFW,sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head, {Multiple people}, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot,"
翻越那座山需要很久，越过那条河也并不容易，所以成了赶路人中途歇息的必选之地,2,"best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, The image would be a group of travelers passing by a small village on the side of a mountain. They are making their way through the dense forest and can see a river ahead. The road is narrow and winding, and the travelers need to stop and rest to take care of their journey. The village is at the side of the mountain, and people are working hard to build a road leading to the village. The travelers can see small shops and homes in the distance, and they can hear the sound of birds singing and the rustling of leaves in the wind.","NSFW,sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head, {Multiple people}, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot,"
但是这几个月，雪落山庄的生意倒并不是很好,3,"best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, A winter scene with snow falling on a cozy cabin in the woods. The cabin is surrounded by a thick forest, and a group of people are gathered around a fire, enjoying the winter weather. They are playing cards, singing songs, and enjoying the company of each other.","NSFW,sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head, {Multiple people}, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot,"
因为正如它名字，一场雪落了很久很久，阻挡了来路，封住了去处,4,"best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, A heavy snow fell for a long time, covering the ground and blocking the path ahead.","NSFW,sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head, {Multiple people}, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot,"
萧瑟穿着白色的裘皮大衣依靠在门口，看着窗外漫天飞舞的雪花，轻轻地叹了一口气,5,"best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, A desolate figure dressed in a white fur coat is lying against the door threshold, gazing out at a snow-covered landscape that stretches out into the distance. She takes a deep breath and轻轻地叹了口气， as if she is overwhelmed by the beauty of the winter scene.","NSFW,sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head, {Multiple people}, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot,"
这一声，叹的很是萧瑟,6,"best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, The image that I have created for you is a scene of a cold and desolation cityscape, with a voice 叹着说， ""It's so cold outside. I don't know how much longer I can keep this up."" The city is filled with tall buildings and empty streets, and the sound of sizzling wind is heard in the background. The scene is so desolate that it's almost eerie, and the voice is a deep and mournful one.","NSFW,sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head, {Multiple people}, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot,"
如同他的名字一般萧瑟,7,"best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, The scene depicts a desolate and barren landscape, with a sense of foreboding and unease. The sun is setting in the distance, casting a harsh and orange glow over the rocky terrain. In the foreground, a group of individuals are gathered around a small fire, looking off into the distance wither. The air is thick with the smell of smoke and roasting meat, and the sound of distant wolves yelping adds to the atmosphere of tension. The overall mood of the scene is one of desolation and despair, as if the very essence of life has been lost.","NSFW,sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head, {Multiple people}, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot,"
三三两两的小二正趴在桌上打盹，偶尔醒过来也是给冻醒的，猛地哆嗦一下，惊醒过来，扫视一圈，依旧只有那个自负风雅的老板靠在那里看雪，就裹了裹身上破旧的大衣，继续睡去了,8,"best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, A group of three or four little二中的学生 are sitting on a table, looking tired and exhausted. They are often comatose due to being cold, and they occasionally wake up with a sudden哆嗦. They quickly recover and look around, but still only see the arrogant and fashionable老板 who is lying on the same table, looking at the snow. They cover themselves with a破旧的大衣 and continue to sleep.","NSFW,sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head, {Multiple people}, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot,"
当然也会忍不住在心里抱怨几句：本来店里还有几个不愿在风雪天赶路而打算住下来的客人，但因为老板一直舍不得出钱整修客栈，以至于每个客房都是漏风的，客人们冻了几天后便宁愿捱着风雪吹刮的苦也毅然上路了,9,"best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, The scene could be a bustling hotel room where a group of guests are gathered, looking tired and frustrated. They are trying to stay warm but the room is filled with cold air, and they are struggling to keep their spirits up. 

The guests could be looking at each other，抱怨ing and trying to figure out what to do. They might be thinking about staying in the hotel for longer, but they are also aware that the老板 is not willing to spend the money to fix the room. 

After a few days of being cold and tired, the guests might have had enough and are decided to leave the hotel and head out into the风雪. They might be looking forward to a warm bed and a hot meal, but they are also aware that they will have to put up with the cold for a while longer. 

The words to describe the scene could be:

*  bustling hotel room
* tired and frustrated guests
*抱怨
* 节约
* 修复
* 风雪
* 温暖
* 离开
* 忍耐","NSFW,sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head, {Multiple people}, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot,"
