text,index,prompt,negative
众人眼里的陆深，是二代中的典范，高学历、高素质，孝敬长辈、友爱手足，从无不良嗜好，兢兢业业接手家中生意，一心为公司和家族做奉献,0,"best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, The picture depicts a person named Liu Shi, who is widely regarded as a model for the second generation. He has a high level of education and high professional standards, showing respect for his parents and siblings. He is also kind to his peers and has no bad habits. Liu Shi has taken over his family's business and has worked tirelessly to make it successful. He is dedicated to his work for both his company and his family.","NSFW,sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head, {Multiple people}, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot,"
唯有身边人知道，他其实是个刻板严肃、冰冷无趣，对别人要求极高、自我要求更高的工作狂,1,"best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, The image would be of a person who is seen as固定、严肃、冷漠 and demanding, but who in reality is a passionate and dedicated worker who places high expectations on himself and others.","NSFW,sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head, {Multiple people}, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot,"
他还恐同,2,"best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, A person is standing in front of a mirror, looking at themselves with a critical and negative expression. They are wearing a black suit and a white shirt, and their hair is styled in a strict manner. The person is holding a Bible, and they are looking at it with a fear and dislike. In their hand, they are holding a sign that reads ""恐同者滚出我國"", which is written in Chinese characters. The background of the picture is a dark and stormy night, with the sky filled with lightning strikes and闪电.","NSFW,sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head, {Multiple people}, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot,"
曾有男性友人当众与他表白，陆深严词拒绝后，不留半分情面地跟人绝交,3,"best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, A man named Lu deeply拒绝 a male friend's表白 in a public setting, without showing any emotions or respect. The friend continued to try to apologize and reconcile, but Lu remained firm and绝交了. 

The scene could look like this:

 Lu, a tall and confident man, stands in front of a group of friends and colleagues, surrounded by a bustling public place. He is surrounded by people looking on and listening.

Suddenly, a male friend of Lu's stands up and approaches him, trying to express his feelings for Lu. Lu takes a deep breath and firmly says, ""I appreciate your feelings, but I cannot accept your love. It's not right for me to date someone who is in a relationship.""

The male friend looks disappointed and tries to apologize, but Lu remains firm. He looks at the friend with a cold, unyielding expression, and says, ""I don't need your apology. I've had enough of your games. Let's part ways as friends, and never speak of this again.""

The friends and colleagues around him watch the scene unfold, some shocked and disappointed, while others understand and support Lu's decision. The man who表白ed Lu looks defeated and hurt, but he understands that Lu's heart is set. The scene ends with Lu walking away from the group, leaving the male friend behind.","NSFW,sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head, {Multiple people}, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot,"
所有人都以为陆家大少爷不可能喜欢男人，但其实早在七年前，在非洲流浪的那三个月，他曾经放纵自己，与一个男人沉沦欲潮、不能自拔,4,"best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, The image I would generate is a person who is seen as the most privileged and upper class member of着陆家族， who is depicted as having a sense of entitlement and a lack of self-awareness. Despite this, there is a hint of a secret or hidden truth about their past that is revealed through a series of subtle and enigmatic gestures. The person is shown interacting with others in a way that suggests they are still in the midst of a state of confusion and emotional turmoil, as if they are struggling to come to terms with their newfound desires and emotions. The overall mood of the image is one of confusion and uncertainty, as the person seems to be lost and struggling to make sense of their own life.","NSFW,sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head, {Multiple people}, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot,"
那是他人生唯一一次脱轨,5,"best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, The image that I have generated for you is a picture of a person who has taken a wrong turn in their life. This is their only一次偏离轨道， and it is significant for them. The person is standing on a track, with a train passing by in the background. They are lost and confused, looking around for a way out. The background is filled with smoke and debris, and the person is holding onto a piece of wood as they try to find a way to escape. The image is captures in a moment of panic and confusion, as the person is trying to find a way to stay on track and avoid being trapped by the train.","NSFW,sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head, {Multiple people}, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot,"
-七年前封肆被那双一直痴迷盯着自己的眼睛钓上钩，春风几度、食髓知味，自以为陷入热恋中时那人却彻底消失，无影无踪,6,"best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, 七年前，封肆曾经被那对一直痴迷盯着自己的眼睛钓上钩。他经常春风得意，认为自己已经陷入了热恋之中。但是，当他以为他已经找到了那个人的时候，那个人却彻底消失，无影无踪。

The image would be a scene of封肆 standing in a park, looking at the same person who had been following him for seven years with an intense gaze. He is春风得意， enjoying the warmth of the spring, and feeling confident in his love. However, as he looks at that person again, they suddenly disappear, leaving him feeling completely lost and alone.","NSFW,sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head, {Multiple people}, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot,"
再见面，仍旧和当年一样，表面矜傲冷漠、高不可攀的人，紧盯着自己的那双眼睛里，其实全是渴望,7,"best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, The image that I have generated is a scene where a person, who looks like they are still傲慢 and dismissive, but in reality, their eyes are filled with longing and desire. The person is looking directly at themselves, their face expressionless, but their eyes are full of tears and yearning.","NSFW,sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head, {Multiple people}, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot,"
同样的游戏，他却不打算再玩第二次,8,"best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, A person playing a video game, but not looking interested anymore, as if they have already played it once. 

Some possible words to describe this scene could be:

* Gameplay
* Characters
* World
* Challenges
* 的胜利
* Loss
* Replay
* Disinterest
* Wasted
* Time
* Game
* Experience","NSFW,sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head, {Multiple people}, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot,"
-＊封肆x陆深＊看似风流随性实则深情专一的浪子攻x表面刻板恐同实际闷骚到极致的深柜受标签：情投意合破镜重圆HE第1章故人早上九点，商务车停在机场公务机航站楼外，地服人员正在门口等候迎接,9,"best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, The scene depicts a morning at the airport, with a corporate car parking outside the official terminal building. The driver, a handsome and charming man with a mischievous grin, is waiting for his passengers, a woman who looks as if she could be a professional and a deep-set, reserved man.

As the two women step out of the car, they are greeted by a team of ground handlers, who are clearly uncomfortable with the couple's relationship. The woman, who looks like she could be a professional, smiles and waves to the handlers, while the man remains silent and introspective.

As the woman and man walk towards the terminal, they are surrounded by a sea of people, but the man remains focused on his destination. The scene ends with the couple entering the terminal building, the man's eyes never leaving his companion.","NSFW,sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head, {Multiple people}, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot,"
