text,index,prompt,negative
陈雨疲惫地拍了拍自己的脑门，又拿起一本古籍开始研究，他的目光专注而坚定,0,"best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, A scene showing Chen Yu, tiredly tapping his forehead, then picking up a ancient book and starting to read with a focused and determined look on his face.","NSFW,sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head, {Multiple people}, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot,"
这位专家对于古籍的兴趣和热情一直都是无人能及的，而这次他遇到了一本特别的古籍——《死者之书》,1,"best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, The画面 shows the专家 sitting in a library, surrounded by a collection of ancient books. He is reading from the book that he is most interested in, which is titled ""The Book of the Dead."" The book is written in a ancient language, and the专家's eyes light up as he reads the contents. He seems to be in a state of great excitement as he discusses the story and its significance. The library is filled with other books and documents, but the专家's focus is on ""The Book of the Dead.""","NSFW,sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head, {Multiple people}, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot,"
《死者之书》记录了一系列让人毛骨悚然的谋杀案，这些案件都匪夷所思，让陈雨不得不重新审视过去的这些案件,2,"best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, The scene shows a dark and eerie book titled ""The死者之书"" that has been kept in a cozy little apartment. The book contains detailed descriptions of several mysterious and violent crimes that have been committed in the past. As陈雨 reads the pages, she can't help but feel a sense of unease and curiosity. She turns the page, and the next description is of a woman who has been killed in a bizarre and seemingly impossible way. The scene is filled with a sense of foreboding, and the reader can't help but wonder what the true meaning of these crimes is.","NSFW,sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head, {Multiple people}, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot,"
他的研究引起了警方的注意，但他并没有放弃，反而更加坚定地要解开这个谜团,3,"best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, The scene takes place in a police station, where a scientist is being questioned by the police. He is holding a notebook and a pencil, and looks determined as he talks to the officer. The scientist is describing his research, which has recently been引起了警方的注意. He is explaining how he has been able to solve some of the most complex puzzles in the world, and how he is determined to continue his work. The police officer seems interested in the scientist's research, and asks him questions about it. The scientist answers thoughtfully, showing no signs of being nervous or intimidated.","NSFW,sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head, {Multiple people}, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot,"
陈雨的调查逐渐深入，他发现这些案件都隐藏着一个久远的秘密,4,"best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, The scene shows陈雨 (CNN) rummaging through a file folder on a desk, carefully searching for information. As he delves deeper, he discovers a secrets folder, which contains old photographs and documents.

In the background, a computer screen displays news articles and social media posts related to the ongoing investigations. People in the room seem nervous or worried, while陈雨 continues to study the files.

Suddenly, he stops, looks up and points to a photo in the folder. The room goes silent, and everyone looks at him in surprise. He takes a deep breath and continues, ""This is the first time I've seen this picture. But I think it's important. I need to show it to someone.""

The camera pans out to show the photo, which shows a young woman in a black dress, standing in front of a long, dark cave. She is holding a light source in her hand, and her eyes are filled with a sense of wonder and curiosity.

As the camera continues to zoom in, we see that the woman is not alone. There are several other people standing behind her, all looking at her with a sense of excitement and anticipation.

The scene ends with陈雨 looking at the photo again, and a sense of determination and excitement in his eyes.","NSFW,sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head, {Multiple people}, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot,"
随着调查的深入，他意识到自己已经卷入了一个更加危险的局面中,5,"best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, As the investigation progressed, the individual realized that they had become involved in a more dangerous situation. 

The画面 could be a scene of a person conducting an investigation, with their hands holding a detective's tool or a notebook, looking determined and focused. They may be standing in a dark room or in a field, with a light source coming from behind them, such as a torch or a flashlight. In the background, there could be a sound of clicking cameras or a beeping machine. The individual's face could be expressionless, but they could be aware of the danger they were in and the potential consequences of their actions.","NSFW,sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head, {Multiple people}, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot,"
一天晚上，陈雨突然接到了一个神秘的电话，对方声称自己知道《死者之书》的真相，并邀请他前往一个偏远的村庄,6,"best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, The scene shows陈雨 sitting in his living room, listening to the sound of a phone ringing. As the phone continues to ring, he reaches for it and answers.

As he listens to the caller, he is suddenly interrupted by a strange voice. ""Hello,"" the voice says. ""My name is O' Brian. I have heard of a book called the 死者之书. I believe you may have the answer to its secrets. Would you like to come to my village and discuss it with me?""

陈雨 is taken aback by the caller's words. ""What is your village?"" he asks.

""It is a small village located in the countryside,"" the voice says. ""I have spent many years studying the book and I have come to the conclusion that it is the key to understanding the true meaning of life.""

""I'm sorry, but I am not interested in such a thing,""陈雨 says. ""I am just a person trying to make a living. I do not have the time or resources to go to a remote village and study a book.""

""I understand,"" the voice says. ""However, if you change your mind, I would be happy to send you a gift. The book is a rare and valuable artifact that I have been able to acquire. I would be happy to take you to my village and show it to you.""

As the call ends，陈雨 is left confused and intrigued. He decides to give O' Brian a call and see if he has any other information.","NSFW,sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head, {Multiple people}, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot,"
陈雨迫不及待地赶往村庄，却发现那里已经是一片废墟，而对方也不见了踪影,7,"best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, The scene shows陈雨 running quickly towards the village, her heart pounding with excitement. However, when she reaches the area, she finds it to be a desolate wasteland, with no sign of the other person. She looks around, but there is no one to be seen. 

The scene ends with陈雨 looking dejected and defeated, as if she has been defeated by the circumstances around her.","NSFW,sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head, {Multiple people}, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot,"
陈雨惊恐万分，但他没有放弃，他相信这一切都与古籍有关,8,"best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, The scene shows陈雨 sitting in a chair, with tears streaming down her face. She is shaking and scared. Despite her fear, she doesn't give up, and she believes that everything is related to ancient texts.","NSFW,sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head, {Multiple people}, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot,"
他回到了他的实验室，开始重新审视这本神秘的古籍,9,"best quality,masterpiece,illustration, an extremely delicate and beautiful,extremely detailed,CG,unity,8k wallpaper, He returned to his laboratory and began re-reading this mysterious ancient book.","NSFW,sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head, {Multiple people}, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot,"
